,,,,,,,,,,,,,,,,,,2-Pt Field Goals,,,,,3-Pt Field Goals,,,,,,,,,,,,,,,,,,,,Offense Four Factors,,,,Defense Four Factors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restricted Area,,,In the Paint (Non-RA),,,Mid-Range,,,Left Corner 3,,,Right Corner 3,,,Above the Break 3,,,Backcourt,,
,,,,,,% of FGA by Distance,,,,,,FG% by Distance,,,,,,,Dunks,,Layups,,,Corner,,Heaves,,Age,W,L,Expected Wins,Expected Losses,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,Team ID,,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,,,
19,New Orleans Pelicans*,82,19955,0.483,12.5,0.681,0.295,0.179,0.099,0.109,0.319,0.54,0.667,0.475,0.441,0.396,0.362,0.549,0.054,362,0.307,1294,0.876,0.233,0.399,14,0,26.3,29,53,32,50,-3.56,0.03,-3.53,107.1,110.7,-3.6,96.8,0.216,0.266,0.544,0.51,13.3,24.1,0.17,0.522,12.2,76.7,0.208,Madison Square Garden (IV),"792,608","19,332",82,19830,41.7,89.9,0.464,8.4,23.9,0.352,33.3,66,0.504,15.3,19.5,0.787,10.7,34.4,45.1,23.9,6.9,5.3,15.1,21,107.1,20,1610612752,New York Knicks,16.9,27,0.626,6.5,14.9,0.436,9.1,22.5,0.403,1.3,2.9,0.431,0.7,1.9,0.368,6.3,18.3,0.342,0,0.2,0
20,New York Knicks,82,19830,0.464,12.7,0.734,0.278,0.156,0.14,0.159,0.266,0.504,0.656,0.398,0.442,0.399,0.352,0.499,0.04,259,0.276,1119,0.869,0.194,0.406,20,0,27.3,48,34,50,32,3.41,0,3.42,110.7,107.2,3.5,96.7,0.275,0.345,0.546,0.514,12.4,27.7,0.197,0.525,14.7,77.4,0.193,Chesapeake Energy Arena,"746,322","18,203",82,19830,40.9,90.4,0.453,11,31.2,0.354,29.9,59.2,0.505,17.8,24.8,0.716,12.8,33.4,46.2,21.9,9.3,5.2,14.4,20.7,110.7,21,1610612760,Oklahoma City Thunder,18.2,29.5,0.617,3.7,9.3,0.4,7.2,18.9,0.383,1.3,3.5,0.371,1.5,4,0.373,7.9,22.6,0.35,0,0.3,0
21,Oklahoma City Thunder*,82,19830,0.453,13.2,0.655,0.315,0.096,0.105,0.138,0.345,0.505,0.639,0.367,0.404,0.375,0.354,0.426,0.067,408,0.272,1082,0.831,0.239,0.372,21,0,25.6,25,57,28,54,-4.82,-0.1,-4.92,105.2,110.1,-4.9,98.1,0.238,0.342,0.545,0.512,13.3,20,0.18,0.525,12.8,75.6,0.187,Amway Center,"734,531","17,915",82,19730,39.5,87.4,0.452,10.5,29.8,0.351,29,57.5,0.504,15.8,20.8,0.757,9,33.4,42.4,23.8,7.7,5,14.8,19.6,105.2,22,1610612753,Orlando Magic,17,26,0.656,5.7,15.6,0.368,5.7,15,0.382,1.3,3.4,0.381,0.7,2.1,0.335,8.3,23.6,0.35,0,0.1,0.1
22,Orlando Magic,82,19730,0.452,13.3,0.658,0.259,0.18,0.108,0.112,0.342,0.504,0.688,0.398,0.347,0.403,0.351,0.515,0.052,335,0.272,1088,0.851,0.178,0.374,8,0,25.8,52,30,53,29,4.5,-0.2,4.3,109.5,105,4.5,99.8,0.263,0.344,0.568,0.535,14.6,25.3,0.198,0.492,12.6,78.6,0.218,Wells Fargo Center,"833,503","20,361",82,19780,40.7,86.3,0.472,11,29.7,0.369,29.8,56.6,0.526,17.1,22.7,0.752,10.9,36.4,47.3,27,8.3,5.1,16.4,22,109.5,23,1610612755,Philadelphia 76ers,18.1,27,0.672,5.5,14.7,0.371,6.3,15.1,0.415,0.8,2.2,0.344,1.1,2.6,0.436,9.1,24.8,0.367,0,0.2,0
23,Philadelphia 76ers*,82,19780,0.472,13.3,0.656,0.272,0.168,0.109,0.107,0.344,0.526,0.702,0.401,0.383,0.421,0.369,0.556,0.06,386,0.27,1105,0.954,0.151,0.397,20,0,23.7,21,61,19,63,-9.37,0.57,-8.8,103.5,112.8,-9.3,100.3,0.275,0.32,0.532,0.495,13.9,22.5,0.203,0.533,11.9,76.5,0.212,Talking Stick Resort Arena,"690,576","16,843",82,19705,38.3,86.7,0.442,9.3,27.8,0.334,29,59,0.492,17.6,23.8,0.741,10.2,33.7,43.9,21.2,6.9,4.5,15.7,21.9,103.5,24,1610612756,Phoenix Suns,17.9,29.8,0.601,5.1,13.6,0.377,6.1,15.8,0.386,1.3,3.3,0.387,0.9,2.8,0.33,7.1,21.5,0.329,0,0.2,0
24,Phoenix Suns,82,19705,0.442,12.5,0.68,0.313,0.145,0.115,0.107,0.32,0.492,0.618,0.387,0.399,0.369,0.334,0.467,0.063,387,0.293,1079,0.823,0.209,0.366,16,0,25.6,49,33,48,34,2.6,0,2.6,109.1,106.4,2.7,96.5,0.24,0.324,0.549,0.511,12.3,23.3,0.192,0.503,11.7,79.1,0.193,Moda Center,"795,750","19,409",82,19755,40.6,89.8,0.452,10.6,29.1,0.366,29.9,60.7,0.493,17.3,21.6,0.8,10.5,36.4,46.9,20.1,7.2,5.3,14,20.1,109.1,25,1610612757,Portland Trail Blazers,16.1,27.7,0.581,5.4,13.4,0.405,7.5,17.7,0.422,1,2.7,0.374,1,2.5,0.396,8.3,22.9,0.363,0,0,0
25,Portland Trail Blazers*,82,19755,0.452,13,0.676,0.283,0.155,0.111,0.127,0.324,0.493,0.609,0.383,0.434,0.418,0.366,0.416,0.039,246,0.266,998,0.721,0.175,0.386,4,0,26.4,27,55,23,59,-6.99,0.39,-6.6,103.7,111.1,-7.4,94.9,0.194,0.278,0.529,0.502,12.8,21.5,0.143,0.542,13.5,77.6,0.199,Golden 1 Center,"714,680","17,431",82,19755,40.7,90.4,0.45,9.4,25.2,0.375,31.2,65.2,0.479,12.9,17.5,0.735,9.9,33,42.9,22.6,8.2,4.4,14.4,21,103.7,26,1610612758,Sacramento Kings,14.9,24,0.619,6.9,17.9,0.386,8,20.4,0.395,1.1,3,0.381,1,2.2,0.453,6.8,18.4,0.371,0,0.3,0
26,Sacramento Kings,82,19755,0.45,12.9,0.722,0.242,0.205,0.115,0.159,0.278,0.479,0.642,0.395,0.385,0.407,0.375,0.477,0.045,290,0.248,907,0.817,0.2,0.409,25,0,29.3,47,35,49,33,2.89,0,2.89,107.9,104.8,3.1,95,0.245,0.282,0.543,0.507,12.2,23.7,0.189,0.507,13.2,78.6,0.17,AT&T Center,"754,562","18,404",82,19730,41,89.6,0.457,8.9,25.3,0.352,32.1,64.3,0.499,17,22,0.772,10.9,35.6,46.4,23.9,8,5.9,13.8,18,107.9,27,1610612759,San Antonio Spurs,15.8,24.7,0.638,6.1,15.3,0.4,8.7,21.3,0.408,1.2,3,0.397,1.2,2.8,0.408,6.1,18.1,0.339,0,0.2,0
27,San Antonio Spurs*,82,19730,0.457,12.7,0.718,0.261,0.169,0.143,0.144,0.282,0.499,0.66,0.406,0.416,0.4,0.352,0.497,0.031,192,0.264,1080,0.897,0.235,0.4,16,0,25.8,59,23,60,22,7.78,-0.49,7.29,113.8,105.9,7.9,97.4,0.25,0.377,0.575,0.539,12.1,23,0.198,0.501,13,77.7,0.212,Air Canada Centre,"813,431","19,840",82,19830,42,89.1,0.472,12,33.6,0.358,30,55.5,0.541,17.7,22.2,0.794,9.9,34.9,44.8,24.8,7.8,6.2,13.6,22.2,113.8,28,1610612761,Toronto Raptors,18.8,29,0.65,5.5,13.2,0.419,5.2,12.4,0.416,1.8,4.8,0.366,1.5,3.6,0.428,8.5,24.3,0.349,0,0.2,0.053
28,Toronto Raptors*,82,19830,0.472,13.2,0.623,0.291,0.16,0.098,0.074,0.377,0.541,0.681,0.414,0.428,0.419,0.358,0.499,0.05,338,0.272,1114,0.816,0.243,0.396,19,1,26.7,48,34,53,29,4.3,0.17,4.47,108.4,103.9,4.5,95.7,0.26,0.357,0.564,0.527,13.7,21.5,0.202,0.506,14,79.8,0.19,Vivint Smart Home Arena,"734,806","17,922",82,19755,39.8,86.3,0.462,11.3,30.8,0.366,28.6,55.5,0.515,17.5,22.4,0.779,9.4,35.6,45,23.3,9,5.3,15.3,20.4,108.4,29,1610612762,Utah Jazz,17.2,26.7,0.644,5,13.2,0.376,5.3,13.4,0.395,1.9,4.5,0.415,1.7,4,0.42,7.3,20.9,0.348,0,0.2,0
29,Utah Jazz*,82,19755,0.462,13.2,0.643,0.284,0.151,0.1,0.108,0.357,0.515,0.674,0.37,0.398,0.408,0.366,0.5,0.069,434,0.273,994,0.805,0.268,0.418,14,0,26.9,43,39,43,39,0.59,-0.06,0.53,109.3,108.7,0.6,96.6,0.254,0.31,0.56,0.525,13.3,23.5,0.196,0.522,13.6,77.1,0.212,Capital One Arena,"739,302","18,032",82,19855,41,87.8,0.467,10.2,27.2,0.375,30.8,60.6,0.508,17.2,22.3,0.772,10.3,33.9,44.2,25.8,8.1,4.4,15,21.8,109.3,30,1610612764,Washington Wizards,15.1,23.7,0.639,6,14.3,0.422,8.9,21.2,0.419,0.9,2.6,0.35,1.1,2.7,0.41,7.9,20.9,0.377,0,0.2,0
30,Washington Wizards*,82,19855,0.467,13.4,0.69,0.243,0.159,0.139,0.149,0.31,0.508,0.673,0.418,0.436,0.405,0.375,0.548,0.042,248,0.252,1008,0.88,0.192,0.376,17,0,26.6,,,41,41,0,0,0,108.6,108.6,,97.3,0.252,0.337,0.556,0.521,13,22.3,0.193,0.521,13,77.7,0.193,,"737,485","17,989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,League Average,82,19795,0.46,13.2,0.663,0.281,0.156,0.106,0.12,0.337,0.51,0.658,0.394,0.415,0.4,0.362,0.499,0.053,331,0.273,1064,0.83,0.208,0.394,17.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
